name,pe,pb,price,market_value,shares,weight,shares (buy/sell),amount_needed,previous_market_value
REC Limited,9.43,1.89,524.05,77035.34999999999,147,2.5,77,40351.85,36684
SBI,10.7,1.79,796.65,77275.05,97,2.5,50,39832.5,37443
IRFC,30.83,3.91,152.07,46229.28,304,1.5,304,46229.28,0
Tata Chemicals,36.9,1.29,1128.65,46274.65,41,1.5,22,24830.300000000003,21444
M&M,33.97,5.67,3017.45,48279.2,16,1.5,-5,-15087.25,63366
HDFC Bank,19.44,2.77,1657.65,77909.55,47,2.5,32,53044.8,24865
ICICI,20.64,3.46,1239.75,47110.5,38,1.5,9,11157.75,35953
Reliance,27.3,2.37,2773.05,77645.40000000001,28,2.5,15,41595.75,36050
ITC,30.79,8.45,503.55,46326.6,92,1.5,30,15106.5,31220
Adani Port,31.94,5.77,1413.7,46652.1,33,1.5,8,11309.6,35343
Cipla,29.49,4.91,1623.3,47075.7,29,1.5,6,9739.8,37336
Sun Pharma,43.47,7.2,1910.05,17190.45,9,0.5,-15,-28650.75,45841
JSW Steel,36.34,3.26,1033.75,15506.25,15,0.5,-18,-18607.5,34114
IREDA,47.6,6.96,221.66,15516.199999999999,70,0.5,-253,-56079.979999999996,71596
CRISIL,49.42,14.29,4399.05,17596.2,4,0.5,4,17596.2,0
MARICO,58.66,23.24,690.2,15874.6,23,0.5,-4,-2760.8,18635
Hindustan Unilever,64.76,13.07,2848.75,17092.5,6,0.5,-3,-8546.25,25639
Bharti Airtel,76.61,11.39,1640.9,16409.0,10,0.5,-13,-21331.7,37741
VBL,77.63,21.93,578.9,15630.3,27,0.5,-68,-39365.2,54996
Pidilite,87.12,19.47,3208.8,16044.0,5,0.5,-6,-19252.800000000003,35297
Titan,94.16,34.62,3670.1,18350.5,5,0.5,-4,-14680.4,33031
Tata Steel,65.09,2.26,166.75,46189.75,277,1.5,48,8004.0,38186
Angel One,20.03,7.89,2661.7,47910.6,18,1.5,18,47910.6,0
AGI Infra,22.73,5.38,985.98,46341.06,47,1.5,29,28593.420000000002,17747
PFC,7.38,1.51,463.35,76916.1,166,2.5,166,76916.1,0
Indigo,22.86,89.43,4609.35,50702.850000000006,11,1.5,11,50702.850000000006,0
Jindal Steel and Power,18.72,2.36,1021.1,77603.6,76,2.5,76,77603.6,0
Bandhan Bank,11.71,1.4,186.86,76986.32,412,2.5,307,57366.020000000004,19620
BSE,92.57,16.84,4108.15,16432.6,4,0.5,4,16432.6,0
Vedant Fashions,81.76,19.64,1298.9,15586.800000000001,12,0.5,12,15586.800000000001,0
Nestle,77.42,75.01,2598.15,15588.900000000001,6,0.5,0,0.0,15589
